instant,dteday,season,yr,mnth,holiday,weekday,workday,weathersit,tempC,tempF,atemp,hum,windspd,casual,reg,cnt,runsum
1,2011-01-01,Winter,0,1,0,6,0,2,0.344167,61.1165282,0.363625,0.805833,0.160446,331,654,985,985
2,2011-01-02,Winter,0,1,0,0,0,2,0.363478,62.7502388,0.353739,0.696087,0.248539,131,670,801,1786
3,2011-01-03,Winter,0,1,0,1,1,1,0.196364,48.6123944,0.189405,0.437273,0.248309,120,1229,1349,3135
4,2011-01-04,Winter,0,1,0,2,1,1,0.2,48.92,0.212122,0.590435,0.160296,108,1454,1562,4697
5,2011-01-05,Winter,0,1,0,3,1,1,0.226957,51.2005622,0.22927,0.436957,0.1869,82,1518,1600,6297
6,2011-01-06,Winter,0,1,0,4,1,1,0.204348,49.2878408,0.233209,0.518261,0.0895652,88,1518,1606,7903
7,2011-01-07,Winter,0,1,0,5,1,2,0.196522,48.6257612,0.208839,0.498696,0.168726,148,1362,1510,9413
8,2011-01-08,Winter,0,1,0,6,0,2,0.165,45.959,0.162254,0.535833,0.266804,68,891,959,10372
9,2011-01-09,Winter,0,1,0,0,0,1,0.138333,43.7029718,0.116175,0.434167,0.36195,54,768,822,11194
10,2011-01-10,Winter,0,1,0,1,1,1,0.150833,44.7604718,0.150888,0.482917,0.223267,41,1280,1321,12515
11,2011-01-11,Winter,0,1,0,2,1,2,0.169091,46.3050986,0.191464,0.686364,0.122132,43,1220,1263,13778
12,2011-01-12,Winter,0,1,0,3,1,1,0.172727,46.6127042,0.160473,0.599545,0.304627,25,1137,1162,14940
13,2011-01-13,Winter,0,1,0,4,1,1,0.165,45.959,0.150883,0.470417,0.301,38,1368,1406,16346
14,2011-01-14,Winter,0,1,0,5,1,1,0.16087,45.609602,0.188413,0.537826,0.126548,54,1367,1421,17767
15,2011-01-15,Winter,0,1,0,6,0,2,0.233333,51.7399718,0.248112,0.49875,0.157963,222,1026,1248,19015
16,2011-01-16,Winter,0,1,0,0,0,1,0.231667,51.5990282,0.234217,0.48375,0.188433,251,953,1204,20219
17,2011-01-17,Winter,0,1,1,1,0,2,0.175833,46.8754718,0.176771,0.5375,0.194017,117,883,1000,21219
18,2011-01-18,Winter,0,1,0,2,1,2,0.216667,50.3300282,0.232333,0.861667,0.146775,9,674,683,21902
19,2011-01-19,Winter,0,1,0,3,1,2,0.292174,56.7179204,0.298422,0.741739,0.208317,78,1572,1650,23552
20,2011-01-20,Winter,0,1,0,4,1,2,0.261667,54.1370282,0.25505,0.538333,0.195904,83,1844,1927,25479
21,2011-01-21,Winter,0,1,0,5,1,1,0.1775,47.0165,0.157833,0.457083,0.353242,75,1468,1543,27022
22,2011-01-22,Winter,0,1,0,6,0,1,0.0591304,37.00243184,0.0790696,0.4,0.17197,93,888,981,28003
